Position,Const,Created,Modified,Description,Name,Known For,Birth Date
"3. ""Into the Woods"" (2014)",,,,,,,
"4. ""The Accountant"" (2016)",,,,,,,
"5. ""A Simple Favor"" (2018)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Carey Mulligan**:,,,,,,,
"1. ""An Education"" (2009)",,,,,,,
"2. ""Drive"" (2011)",,,,,,,
"3. ""Never Let Me Go"" (2010)",,,,,,,
"4. ""Suffragette"" (2015)",,,,,,,
"5. ""The Great Gatsby"" (2013)",,,,,,,
,,,,,,,
**Janet Leigh**:,,,,,,,
"1. ""Psycho"" (1960)",,,,,,,
"2. ""Touch of Evil"" (1958)",,,,,,,
"3. ""The Manchurian Candidate"" (1962)",,,,,,,
"4. ""Little Women"" (1949)",,,,,,,
"5. ""Holiday Affair"" (1949)",,,,,,,
,,,,,,,
**Liv Ullmann**:,,,,,,,
"1. ""Persona"" (1966)",,,,,,,
"2. ""Cries and Whispers"" (1972)",,,,,,,
"3. ""Scenes from a Marriage"" (TV Mini-Series, 1973)",,,,,,,
"4. ""Autumn Sonata"" (1978)",,,,,,,
"5. ""The Emigrants"" (1971)",,,,,,,
,,,,,,,
**Diane Keaton**:,,,,,,,
"1. ""Annie Hall"" (1977)",,,,,,,
"2. ""The Godfather"" trilogy (1972-1990)",,,,,,,
"3. ""Manhattan"" (1979)",,,,,,,
"4. ""Something's Gotta Give"" (2003)",,,,,,,
"5. ""Reds"" (1981)",,,,,,,
,,,,,,,
**Julia Louis-Dreyfus**:,,,,,,,
"1. ""Seinfeld"" (TV Series, 1989-1998)",,,,,,,
"2. ""Veep"" (TV Series, 2012-2019)",,,,,,,
"3. ""Enough Said"" (2013)",,,,,,,
"4. ""The New Adventures of Old Christine"" (TV Series, 2006-2010)",,,,,,,
"5. ""Christmas Vacation"" (1989)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Emily Blunt**:,,,,,,,
"1. ""The Devil Wears Prada"" (2006)",,,,,,,
"2. ""A Quiet Place"" (2018)",,,,,,,
"3. ""Edge of Tomorrow"" (2014)",,,,,,,
"4. ""Sicario"" (2015)",,,,,,,
"5. ""Mary Poppins Returns"" (2018)",,,,,,,
,,,,,,,
**Amanda Plummer**:,,,,,,,
"1. ""Pulp Fiction"" (1994)",,,,,,,
"2. ""The Fisher King"" (1991)",,,,,,,
"3. ""Butterfly Kiss"" (1995)",,,,,,,
"4. ""So I Married an Axe Murderer"" (1993)",,,,,,,
"5. ""Hunger Games: Catching Fire"" (2013)",,,,,,,
,,,,,,,
**Felicity Jones**:,,,,,,,
"1. ""The Theory of Everything"" (2014)",,,,,,,
"2. ""Rogue One: A Star Wars Story"" (2016)",,,,,,,
"3. ""Like Crazy"" (2011)",,,,,,,
"4. ""On the Basis of Sex"" (2018)",,,,,,,
"5. ""The Aeronauts"" (2019)",,,,,,,
,,,,,,,
**Virginia Cherrill**:,,,,,,,
"1. ""City Lights"" (1931)",,,,,,,
"2. ""Laughter"" (1930)",,,,,,,
"3. ""Sunny Side Up"" (1929)",,,,,,,
"4. ""The Brat"" (1931)",,,,,,,
"5. ""Wings"" (1927)",,,,,,,
,,,,,,,
**Grace Kelly**:,,,,,,,
"1. ""Rear Window"" (1954)",,,,,,,
"2. ""To Catch a Thief"" (1955)",,,,,,,
"3. ""High Noon"" (1952)",,,,,,,
"4. ""Dial M for Murder"" (1954)",,,,,,,
"5. ""The Country Girl"" (1954)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Gloria Swanson**:,,,,,,,
"1. ""Sunset Boulevard"" (1950)",,,,,,,
"2. ""Queen Kelly"" (1929)",,,,,,,
"3. ""Sadie Thompson"" (1928)",,,,,,,
"4. ""Male and Female"" (1919)",,,,,,,
"5. ""The Trespasser"" (1929)",,,,,,,
,,,,,,,
**Talia Shire**:,,,,,,,
"1. ""Rocky"" series (1976-2006)",,,,,,,
"2. ""The Godfather"" trilogy (1972-1990)",,,,,,,
"3. ""Rocky Balboa"" (2006)",,,,,,,
"4. ""The Godfather: Part III"" (1990)",,,,,,,
"5. ""The Conversation"" (1974)",,,,,,,
,,,,,,,
**Viola Davis**:,,,,,,,
"1. ""Fences"" (2016)",,,,,,,
"2. ""The Help"" (2011)",,,,,,,
"3. ""Doubt"" (2008)",,,,,,,
"4. ""Ma Rainey's Black Bottom"" (2020)",,,,,,,
"5. ""Widows"" (2018)",,,,,,,
,,,,,,,
**Naomi Watts**:,,,,,,,
"1. ""Mulholland Drive"" (2001)",,,,,,,
"2. ""The Ring"" (2002)",,,,,,,
"3. ""King Kong"" (2005)",,,,,,,
"4. ""21 Grams"" (2003)",,,,,,,
"5. ""Birdman"" (2014)",,,,,,,
,,,,,,,
**Carrie Fisher**:,,,,,,,
"1. ""Star Wars"" series (1977-2019)",,,,,,,
"2. ""When Harry Met Sally..."" (1989)",,,,,,,
"3. ""The Blues Brothers"" (1980)",,,,,,,
"4. ""Postcards from the Edge"" (1990)",,,,,,,
"5. ""Shampoo"" (1975)",,,,,,,
,,,,,,,
"Of course, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Maggie Smith**:,,,,,,,
"1. ""The Prime of Miss Jean Brodie"" (1969)",,,,,,,
"2. ""Harry Potter"" series (2001-2011)",,,,,,,
"3. ""Gosford Park"" (2001)",,,,,,,
"4. ""The Best Exotic Marigold Hotel"" (2011)",,,,,,,
"5. ""The Lady in the Van"" (2015)",,,,,,,
,,,,,,,
**Vera Farmiga**:,,,,,,,
"1. ""Up in the Air"" (2009)",,,,,,,
"2. ""The Departed"" (2006)",,,,,,,
"3. ""The Conjuring"" series (2013-2021)",,,,,,,
"4. ""Bates Motel"" (TV Series, 2013-2017)",,,,,,,
"5. ""Orphan"" (2009)",,,,,,,
,,,,,,,
**Hailee Steinfeld**:,,,,,,,
"1. ""True Grit"" (2010)",,,,,,,
"2. ""The Edge of Seventeen"" (2016)",,,,,,,
"3. ""Pitch Perfect 2"" (2015)",,,,,,,
"4. ""Bumblebee"" (2018)",,,,,,,
"5. ""Ender's Game"" (2013)",,,,,,,
,,,,,,,
**Elizabeth Olsen**:,,,,,,,
"1. ""Martha Marcy May Marlene"" (2011)",,,,,,,
"2. ""Avengers: Age of Ultron"" (2015)",,,,,,,
"3. ""Wind River"" (2017)",,,,,,,
"4. ""Silent House"" (2011)",,,,,,,
"5. ""Ingrid Goes West"" (2017)",,,,,,,
,,,,,,,
**Elliot Page**:,,,,,,,
"1. ""Juno"" (2007)",,,,,,,
"2. ""Hard Candy"" (2005)",,,,,,,
"3. ""Inception"" (2010)",,,,,,,
"4. ""Whip It"" (2009)",,,,,,,
"5. ""Freeheld"" (2015)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Sharon Stone**:,,,,,,,
"1. ""Basic Instinct"" (1992)",,,,,,,
"2. ""Casino"" (1995)",,,,,,,
"3. ""Total Recall"" (1990)",,,,,,,
"4. ""The Mighty"" (1998)",,,,,,,
"5. ""The Quick and the Dead"" (1995)",,,,,,,
,,,,,,,
**Rooney Mara**:,,,,,,,
"1. ""The Girl with the Dragon Tattoo"" (2011)",,,,,,,
"2. ""Carol"" (2015)",,,,,,,
"3. ""Her"" (2013)",,,,,,,
"4. ""A Ghost Story"" (2017)",,,,,,,
"5. ""Lion"" (2016)",,,,,,,
,,,,,,,
**Daisy Ridley**:,,,,,,,
"1. ""Star Wars: The Force Awakens"" (2015)",,,,,,,
"2. ""Star Wars: The Last Jedi"" (2017)",,,,,,,
"3. ""Star Wars: The Rise of Skywalker"" (2019)",,,,,,,
"4. ""Murder on the Orient Express"" (2017)",,,,,,,
"5. ""Ophelia"" (2018)",,,,,,,
,,,,,,,
**Kim Basinger**:,,,,,,,
"1. ""L.A. Confidential"" (1997)",,,,,,,
"2. ""9½ Weeks"" (1986)",,,,,,,
"3. ""Batman"" (1989)",,,,,,,
"4. ""The Natural"" (1984)",,,,,,,
"5. ""The Door in the Floor"" (2004)",,,,,,,
,,,,,,,
**Elizabeth Banks**:,,,,,,,
"1. ""The Hunger Games"" series (2012-2015)",,,,,,,
"2. ""Pitch Perfect"" series (2012-2017)",,,,,,,
"3. ""The 40-Year-Old Virgin"" (2005)",,,,,,,
"4. ""Zack and Miri Make a Porno"" (2008)",,,,,,,
"5. ""Charlie's Angels"" (2019)",,,,,,,
,,,,,,,
"Of course, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Lauren Cohan**:,,,,,,,
"1. ""The Walking Dead"" (TV Series, 2011-2022)",,,,,,,
"2. ""The Boy"" (2016)",,,,,,,
"3. ""Van Wilder: The Rise of Taj"" (2006)",,,,,,,
"4. ""The Boy II"" (2020)",,,,,,,
"5. ""Whiskey Cavalier"" (TV Series, 2019)",,,,,,,
,,,,,,,
**Emmy Rossum**:,,,,,,,
"1. ""The Phantom of the Opera"" (2004)",,,,,,,
"2. ""Shameless"" (TV Series, 2011-2021)",,,,,,,
"3. ""Mystic River"" (2003)",,,,,,,
"4. ""Beautiful Creatures"" (2013)",,,,,,,
"5. ""The Day After Tomorrow"" (2004)",,,,,,,
,,,,,,,
**Kate Mara**:,,,,,,,
"1. ""House of Cards"" (TV Series, 2013-2016)",,,,,,,
"2. ""127 Hours"" (2010)",,,,,,,
"3. ""The Martian"" (2015)",,,,,,,
"4. ""Fantastic Four"" (2015)",,,,,,,
"5. ""Megan Leavey"" (2017)",,,,,,,
,,,,,,,
**Olga Kurylenko**:,,,,,,,
"1. ""Quantum of Solace"" (2008)",,,,,,,
"2. ""Oblivion"" (2013)",,,,,,,
"3. ""To the Wonder"" (2012)",,,,,,,
"4. ""Hitman"" (2007)",,,,,,,
"5. ""Centurion"" (2010)",,,,,,,
,,,,,,,
**Demi Moore**:,,,,,,,
"1. ""Ghost"" (1990)",,,,,,,
"2. ""Indecent Proposal"" (1993)",,,,,,,
"3. ""A Few Good Men"" (1992)",,,,,,,
"4. ""Striptease"" (1996)",,,,,,,
"5. ""G.I. Jane"" (1997)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Joan Allen**:,,,,,,,
"1. ""The Contender"" (2000)",,,,,,,
"2. ""Nixon"" (1995)",,,,,,,
"3. ""The Bourne Identity"" (2002)",,,,,,,
"4. ""Pleasantville"" (1998)",,,,,,,
"5. ""The Ice Storm"" (1997)",,,,,,,
,,,,,,,
**Chloe Grace Moretz**:,,,,,,,
"1. ""Kick-Ass"" (2010)",,,,,,,
"2. ""Let Me In"" (2010)",,,,,,,
"3. ""Hugo"" (2011)",,,,,,,
"4. ""If I Stay"" (2014)",,,,,,,
"5. ""Carrie"" (2013)",,,,,,,
,,,,,,,
**Blake Lively**:,,,,,,,
"1. ""The Age of Adaline"" (2015)",,,,,,,
"2. ""The Shallows"" (2016)",,,,,,,
"3. ""Gossip Girl"" (TV Series, 2007-2012)",,,,,,,
"4. ""A Simple Favor"" (2018)",,,,,,,
"5. ""Savages"" (2012)",,,,,,,
,,,,,,,
**Rachel Weisz**:,,,,,,,
"1. ""The Constant Gardener"" (2005)",,,,,,,
"2. ""The Mummy"" series (1999-2008)",,,,,,,
"3. ""The Favourite"" (2018)",,,,,,,
"4. ""Constantine"" (2005)",,,,,,,
"5. ""The Lobster"" (2015)",,,,,,,
,,,,,,,
**Kaya Scodelario**:,,,,,,,
"1. ""Maze Runner"" series (2014-2018)",,,,,,,
"2. ""Pirates of the Caribbean: Dead Men Tell No Tales"" (2017)",,,,,,,
"3. ""Skins"" (TV Series, 2007-2010)",,,,,,,
"4. ""The Maze Runner"" (2014)",,,,,,,
"5. ""Crawl"" (2019)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Katherine Parkinson**:,,,,,,,
"1. ""The IT Crowd"" (TV Series, 2006-2013)",,,,,,,
"2. ""Humans"" (TV Series, 2015-2018)",,,,,,,
"3. ""Pirate Radio"" (2009)",,,,,,,
"4. ""The Boat That Rocked"" (2009)",,,,,,,
"5. ""Easy Virtue"" (2008)",,,,,,,
,,,,,,,
**Michelle Pfeiffer**:,,,,,,,
"1. ""Scarface"" (1983)",,,,,,,
"2. ""Batman Returns"" (1992)",,,,,,,
"3. ""Dangerous Liaisons"" (1988)",,,,,,,
"4. ""Hairspray"" (2007)",,,,,,,
"5. ""What Lies Beneath"" (2000)",,,,,,,
,,,,,,,
**Maggie Gyllenhaal**:,,,,,,,
"1. ""Secretary"" (2002)",,,,,,,
"2. ""The Dark Knight"" (2008)",,,,,,,
"3. ""Crazy Heart"" (2009)",,,,,,,
"4. ""Donnie Darko"" (2001)",,,,,,,
"5. ""Frank"" (2014)",,,,,,,
,,,,,,,
**Katheryn Winnick**:,,,,,,,
"1. ""Vikings"" (TV Series, 2013-2020)",,,,,,,
"2. ""The Dark Tower"" (2017)",,,,,,,
"3. ""Bones"" (TV Series, 2005-2010)",,,,,,,
"4. ""Amusement"" (2008)",,,,,,,
"5. ""50 Dead Men Walking"" (2008)",,,,,,,
,,,,,,,
**Evangeline Lilly**:,,,,,,,
"1. ""Lost"" (TV Series, 2004-2010)",,,,,,,
"2. ""Ant-Man"" series (2015-2018)",,,,,,,
"3. ""The Hobbit"" series (2012-2014)",,,,,,,
"4. ""Real Steel"" (2011)",,,,,,,
"5. ""The Hurt Locker"" (2008)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Octavia Spencer**:,,,,,,,
"1. ""The Help"" (2011)",,,,,,,
"2. ""Hidden Figures"" (2016)",,,,,,,
"3. ""Ma"" (2019)",,,,,,,
"4. ""The Shape of Water"" (2017)",,,,,,,
"5. ""Fruitvale Station"" (2013)",,,,,,,
,,,,,,,
**Alyson Hannigan**:,,,,,,,
"1. ""Buffy the Vampire Slayer"" (TV Series, 1997-2003)",,,,,,,
"2. ""How I Met Your Mother"" (TV Series, 2005-2014)",,,,,,,
"3. ""American Pie"" series (1999-2012)",,,,,,,
"4. ""Date Movie"" (2006)",,,,,,,
"5. ""My Stepmother Is an Alien"" (1988)",,,,,,,
,,,,,,,
**Cameron Diaz**:,,,,,,,
"1. ""There's Something About Mary"" (1998)",,,,,,,
"2. ""Charlie's Angels"" (2000)",,,,,,,
"3. ""Shrek"" series (2001-2010)",,,,,,,
"4. ""The Mask"" (1994)",,,,,,,
"5. ""Being John Malkovich"" (1999)",,,,,,,
,,,,,,,
**Jennifer Aniston**:,,,,,,,
"1. ""Friends"" (TV Series, 1994-2004)",,,,,,,
"2. ""Marley & Me"" (2008)",,,,,,,
"3. ""The Break-Up"" (2006)",,,,,,,
"4. ""Horrible Bosses"" (2011)",,,,,,,
"5. ""The Morning Show"" (TV Series, 2019-present)",,,,,,,
,,,,,,,
**Kirsten Dunst**:,,,,,,,
"1. ""Spider-Man"" series (2002-2007)",,,,,,,
"2. ""Interview with the Vampire"" (1994)",,,,,,,
"3. ""Eternal Sunshine of the Spotless Mind"" (2004)",,,,,,,
"4. ""Melancholia"" (2011)",,,,,,,
"5. ""Bring It On"" (2000)",,,,,,,
,,,,,,,
Feel free to ask for more actresses or any other information you might be interested in!,,,,,,,
